screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
Frong_smile,fxrpsx ||| 💕🐱,,believe in democracy ||| 🙌🏻❤️ ||| #LGBTQ 💜🏳️‍🌈,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
glenndall,glenndall gorgeous,"Cebu City, Central Visayas","I love @taylorswift13


Instagram: glenndall gorgeous","RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
alliluamhe,Akubor Maryann Alliluamhe,,,"RT @Aliciategs: We die here. Today na today 🤣😂😂
Ladies and Gentlemen I present to you KAY. 

#LiquoroseATwitterTopic 
#BBNaija
JACK VERIFY…",no,no,no,no,no,no
Bhupdass1,Bhoopdass,"Hisar, India",Kabir is supereme God,"RT @_HariomBaghel: #फिल्मों_ने_बिगाड़ा_समाज
Films should be boycotted by the intellectuals and gentlemen of the society. Choose the path of…",no,no,no,no,no,no
stylthdid,ali (taylor’s version), - ̗̀ ooh spicy  ̖́-,viendo el partido de boca con Louis,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
ddanielamontiel,daniela,,“actuar se trata del camino no del punto de llegada”,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
satuwagapat,micin,,don't expect too much,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
Kuldeep96757845,Kuldeep Thakur,,Hp...... satguru ka bhagat dass,"RT @Sandeep27882805: #फिल्मों_ने_बिगाड़ा_समाज
Films should be boycotted by the intellectuals and gentlemen of the society. Choose the path…",no,no,no,no,no,no
JalloSyarif,Syarif Jallo,,,"RT @IDMToken: 🚀🚀We've got nothing to worry about! 👌👌WE'RE GOING STRONG ladies and gentlemen 💪💪

Read the article here: https://t.co/yHPjTpG…",no,no,no,no,no,no
TettehS07572097,MrrSET(STEVEN ESSEKU TETTEH )🇬🇭,"Senya Beraku, Ghana",Life becomes very terrifying wen u loss ur dad😢🥺😢😢,"RT @gyaigyimii: Ladies and Gentlemen, it's Blacko Season!! 🖤🖤 https://t.co/fCbDuIiwy4",no,no,no,no,no,no
hi_sgrbb2910,🐰🐻,,รีนเบเบน่ะน่ารักที่สุด!,"RT @mywinterbae: Ladies and Gentlemen, the Visual Representatives of 3rd and 4th Gen! https://t.co/dNbrhR6hIx",no,no,no,no,no,no
toothestarz,Mom’s Forseti 🇱🇧🏳️‍🌈💚,Silesse,"Howdy I am Kars ★ She/They/Them ★ Age 20 ★ Lesbian ★ Lewyn and Ced lover ★ I sometimes do art ★ Fire Emblem, Jojo, and Mother 3 ★ other account: @Daily_Ced","RT @AmiibroN: Being the JoJo and Fire Emblem fan that I am, clearly I made the connection between Ced and Giorno being voiced by @PhillMRei…",no,yes,yes,no,no,no
koo_gyan,BankuMmienu✌,,shout' to G❤O❤D❤,"RT @gyaigyimii: Ladies and Gentlemen, it's Blacko Season!! 🖤🖤 https://t.co/fCbDuIiwy4",no,no,no,no,no,no
perfectlyline,marcos🧣,ハリー,eu e o shawn ouvindo o red tv | o/ele/-o      ͏,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
TheAnywhereist,Susanna Perkins #WorkFromAnywhere,Florida and Who Knows?,"I search out and share the best tools, tips, and information to help professional creatives do your best work, anywhere. Join the #Anywhereist newsletter!","If you're a #blogger, #freelancer, or #solobiz owner, this is the basic equivalent of Vince Lombardi's famous ""gent… https://t.co/6hcZob5TT4",no,no,no,no,no,no
_ivonnevargas,Ivonne Vargas,Mexico,I’m not asleep my mind is alive // too insecure to tweet,"RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
EstelleSelfie,🌺Susan Rosas🌼,,"🌸#IBelieveInLeni🌷
👍#IStandWithTrillanes 🇵🇭
🌷#LeniKiko2022 🇵🇭","RT @aikarobredo: Ladies and gentlemen, my mother on Twitter 😅",no,no,no,no,no,no
Kobpascal,pascal🥷,,"Computer scientist || web developer || UCC ||
@realmadrid 
@chelsea fan || @cristiano stan ||
I am who I look like 😊","RT @gyaigyimii: Ladies and Gentlemen, it's Blacko Season!! 🖤🖤 https://t.co/fCbDuIiwy4",no,no,no,no,no,no
lnpneedpeace,lav¡ está sem wi-fi,you're a pipe dream,"eu e Jean assistindo shameless 






































































•ela•dela•a•","RT @thalovestay: ladies and gentlemen, Taylor Swift. https://t.co/60thLQffo9",no,no,no,no,no,no
_WINTEONG,mar.,she/her | 20 | entp,read and retweet.,"RT @mywinterbae: Ladies and Gentlemen, the Visual Representatives of 3rd and 4th Gen! https://t.co/dNbrhR6hIx",no,yes,no,no,no,no
